result_id,event_title,edition,edition_id,sport,sport_url,result_date,result_location,result_participants,result_format,result_detail,result_description
30359,"Super-Heavyweight (>105 kilograms), Men",2004 Summer Olympics,26,Weightlifting,/editions/26/sports/WLF,"25 August 2004 — 16:30 (B), 20:00 (A)","Olympiako Gymnastirio Arsis Varon Nikaias, Nikaia",17 from 15 countries,Total of best lifts in snatch and clean & jerk determined placement.  Ties broken by lightest bodyweight.,na,"Not so much a competition as a coronation, the gold medal in this event went to Iranian Hossein Reza Zadeh, who was the defending champion and had won the 2002-03 World Championships. Reza Zadeh led after the snatch with 210.0 kg, and then lifted a world record 262.5 kg in the clean & jerk, matching his world record total of 472.5 kg. His clean & jerk was re-measured at 263.5 kg for record purposes. German Ronny Weller had been the silver medalist in this class in 1996 and 2000, and had won medals at the last four Olympics. Attempting to become the first weightlifter to win five medals, he injured himself on his second snatch, and dropped out of the competition. Latvia’s Viktors Ščerbatihs won silver, although well behind Reza Zadeh, and he would return in 2008 and add a bronze medal in the class.
"
1626,"Giant Slalom, Women1",1998 Winter Olympics,46,Snowboarding,/editions/46/sports/SBD, 9 February 1998,"Mt. Yakebitai, Shiga Kogen, Yamanouchi",31 from 14 countries,"Two runs, total time determined placement.",Gates: 38 / 36Length: 936 mStart Altitude: 1960 mVertical Drop: 290 m,"The women’s giant slalom was postponed one day because of a snowstorm that interrupted the competition. The heavy favorite was France’s Karine Ruby, who had won all but one World Cup event in 1997-98, and had won the 1996 FIS World Championships. On the first run, she overwhelmed the field, leading by 1.95 second over her teammate, Isabelle Blanc. On the second run Ruby boarded carefully to protect her lead but still won the gold medal by almost two seconds over Germany’s Heidi Renoth. Blanc had the silver medal in her grasp when she missed the final gate on her second run, and fell, sliding across the finish line. Ruby would compete again at the 2002 and 2006 Winter Olympics, winning a silver medal in 2002 in parallel giant slalom, and switching to boardercross for the 2006 Winter Olympics. She then began training to become a mountain guide and was killed in late May 2009 when she fell into a crevasse on Mont Blanc. Isabelle Blanc returned in 2002 to win the gold medal in the parallel giant slalom.
"
76,"Singles, Men",1976 Winter Olympics,40,Luge,/editions/40/sports/LUG,4 –  7 February 1976,"Kunsteis-Bob- und Rodelbahn, Igls",43 from 15 countries,"Four runs, total time determined placement.",Curves: 14Length: 1220 mStart Altitude: ?Vertical Drop: 103 m,"Once more, the competitors from East and West Germany divided the medals among them. The strength of the East German team was shown from the fact that the reigning World Champion and 1972 bronze medallist, Wolfram Fiedler, did not make the cut. This left 1973 World Champion Hans Rinn as the clear favourite. But he made a serious error in the first run, putting him 0.6 seconds behind Dettlef Günther, who had been the 1975 European Champion, but had only managed a 7th spot at the World Championships. Günther would also win the 3rd and 4th run, giving him a comfortable lead. Only West German Josef Fendt could seriously challenge him, but even the former World Champion (1970, 1973) had to concede half a second in the final standings.
The unluckiest slider in Innsbruck was without a doubt Huang Liu-Chong. He was actually the best non-European, as shown by his performances in the first and fourth run, but he finished last because of two crashes in the other two runs. Remarkably, he did finish both times, but ended up more than one minute behind the next-to-last luger – a huge gap in luge terms.
"
962,"1,500 metres, Men",1928 Winter Olympics,30,Speed Skating,/editions/30/sports/SSK,14 February 1928 — 9:00,"Olympia-Eisstadion Badrutts Park, St. Moritz",30 from 14 countries,na,na,"There was little doubt that the Olympic 1500 m title would be retained by Clas Thunberg. He had clocked a 2:18.8 nine days earlier in Davos, and all of the other season best times were at least 1.8 seconds slower. In fact, Thunberg had not lost a 1500 m all season, winning this distance at the Finnish, European and World Championships. Behind him, the Norwegians were expected to divide the medals, with the Americans as outsiders.
The Americans opened, with Eddie Murphy (2:25.9) and Irving Jaffee (2:26.7) setting the pace. The third American, John O’Neil Farrell, was beaten by Roald Larsen of Norway, who also moved in front. Two more Norwegians followed, Olympic 5000 m champion Ivar Ballangrud and Wollert Nygren. The latter, a substitute for the sick Staksrud, had done well in Davos, but disappointed in St. Moritz. Not so for Ballangrud, who took the lead with a very decent 2:22.6. He didn’t have to wait long to see what that time was worth. The very next race paired Thunberg and Bernt Evensen, the fastest of the Norwegians in the )metric mile). The two fought a great race, and were still level coming out of the final bend. Thunberg then emerged as the better sprinter, winning in 2:21.1, eight tenths ahead of Evensen.
The twelfth place of Charlie Gorman is somewhat contentious. He showed up late for the start, but was allowed to skate against Siem Heiden in the final pair, but out of competition. The Official Report mentions that “his time would be noted, but would not count”. Yet, he is listed as 12th in several newspapers, while other 1928 sources do list him as out of competition.
"
258824,"Canadian Singles, Slalom, Men",2008 Summer Olympics,53,Canoe Slalom,/editions/53/sports/CSL,11 – 12 August 2008,"Shunyi Aolinpike Shuishang Gongyuan, Mapo, Shunyi",16 from 16 countries,na,na,"Two former Olympic champions in the C-1 slalom, Michal Martikán of Slovakia (1996) and Tony Estanguet of France (2000, 2004) were present for the event at the 2008 Summer Games and, at recent international tournaments, they had demonstrated that they had not passed the peak of their careers. Martikán was the 2007 and 2008 European and 2007 World Champion, as well as the 2006 European and World runner-up and the 2005 World bronze medalist. Estanguet, meanwhile, was the 2006 European and World Champion and the 2005 and 2007 World runner-up. Another strong contender was Rob Bell of Australia, the 2005 World Champion and 2007 bronze medalist.
Martikán came out on top of the standings in the qualification round, followed by Jan Benzien of Germany, the 2002 World runner-up and European bronze medalist, and Great Britain’s David Florence, while Estanguet and Bell were sixth and seventh respectively. The Beijing Olympics introduced a one-round semi-final for the remaining 12 participants, which Martikán won, while Estanguet was surprisingly eliminated alongside Benzien. Florence and Bell were fourth and fifth respectively, behind Martikán, Stanislav Ježek of the Czech Republic, and Poland’s Krzysztof Bieryt. Ježek was the 2006 World bronze medalist, as well as the 2008 European runner-up, while Bieryt was the 2004 European runner-up. These five men had the same rankings after the first run of the final, but Ježek and Bieryt were sixth and eighth respectively in the second run, allowing Florence and Bell to claim silver and bronze respectively behind Martikán, who regained his title after 12 years and without having lost a single round.
"
925522,"Singles, Handicap (Class II), Men",1900 Summer Olympics,2,Tennis,/editions/2/sports/TEN,6 – 11 July 1900,"Société des sports de l'île de Puteaux, Puteaux",15 from 3 countries,na,na,na
58336,"Shot Put, Men",1936 Summer Olympics,11,Athletics,/editions/11/sports/ATH, 2 August 1936,"Olympiastadion, Reichssportfeld, Berlin",22 from 14 countries,na,na,"In 1934 Jack Torrance broke the world record three times, leaving it at 17.40 (57-1), set at the Bislett Stadium in Oslo. On the year list in 1936, he was just ahead of German Hans Woellke. But in Berlin Torrance performed poorly and would finish only fifth. Woellke led after round one with 15.96 (52-4½) in the final, but Finland’s Sulo Bärlund moved ahead with 16.03 (52-7¼) in the second round. They both improved in round five, with Woellke winning gold with 16.20 (53-1¾), and Bärlund’s 16.12 (52-10¾) good for silver. German Gerd Stöck was in third place from the first round but improved in the final round with 15.66 (51-4½).
"
901207,"800 metres Wheelchair, Women",2004 Summer Olympics,26,Athletics,/editions/26/sports/ATH,22 August 2004 — 20:45,"Olympiako Stadio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",7 from 4 countries,na,na,"Wheelchair racing was held as a demonstration event on the athletics program at the Olympics beginning in 1984, but it was discontinued after the 2004 Olympics. The women raced 800 metres on the track with eight competitors. Australian Louise Sauvage had won this event in 1996 and 2000, but in Athina, the victory went to Canadian Chantal Petitclerc, with Sauvage placing third behind her teammate Eliza Stankovich. Petitclerc, who lost the use of both legs at age 13 when a barn door fell on her, had one of the most storied Paralympic careers, winning 21 medals, with 13 golds, between 1992-2008.
"
923582,"30 kilometres (Mass Start, Classical), Women",2010 Winter Olympics,57,Cross Country Skiing,/editions/57/sports/CCS,27 February 2010 — 11:45,"Whistler Olympic Park, Whistler",53 from 21 countries,na,"Course Length: 29,715 mHeight Differential: 85 mIntermediate 1: 7.1 kmIntermediate 2: 15.0 kmIntermediate 2: 22.3 kmMaximum Climb: 59 mTotal Climbing: 1,047 m","There was some controversy prior to the race when Justyna Kowalczyk (POL) raised questions about the legality of asthma drugs taken by her main rival Marit Bjørgen (NOR), although some commentators were reminded of Kowalczyk’s ban for drug related offenses in 2005. She had come back to win the 2009 World Championships in the event, had also won the distance World Cup in 2008-09, and was leading that competition coming into Vancouver, narrowly ahead of Bjørgen. At 20 km there will still a number of skiers in contention, but after ski changes Kowalczyk and Bjørgen began to pull away from the field, until only these two were in contention for the gold and silver. Bjørgen made the first move, pulling ahead of Kowalczyk with a few kilometres to go and gaining around a 6-second advantage, but the lead was never decisive and Kowalczyk caught up with her on the final climb. It then came down to a sprint to the line which Kowalczyk won, covering the course in a time of 1-30:33.7, just 0.3 seconds ahead of Bjørgen. The bronze medal was won by Aino-Kaisa Saarinen (FIN), her finishing time being over a minute behind the other medallists, but comfortably ahead of fourth placed Evi Sachenbacher-Stehle (GER). After the race, Kowalczyk apologized to Bjørgen for her accusations, “I am sorry, because it wasn’t such a good time for such a question and opinion. It wasn’t an attack on Marit. She is a very good athlete, but I was trying to talk about the asthma problem we have in cross-country, there are a lot of athletes sick with asthma.” Bjørgen also addressed the issue after the race, “That annoyed me a little bit, but for me it’s already yesterday’s news. I was a little bit disappointed in the beginning when she started this, but I have to forget it.”
"
900038,"Kayak Singles, 800 metres, Men",1924 Summer Olympics,8,Canoe Sprint,/editions/8/sports/CSP,14 July 1924,"Bassin d'Argenteuil, Paris",3 from 2 countries,na,na,"Canoeing was demonstrated at the Olympics for the only time in 1924, with all the events held at the unusual distance of 800 metres. Only canoeists from Canada and the United States competed in 1924, so it was hardly an international competition. There were three competitors in this event, which was won by American Bud Havens, ahead of Canada’s Roy Nurse. Havens’ nephews, Frank and William Havens, competed in canoeing for the United States at the 1948 and 1952 Olympics.
"
