"Country","Density_P_Km2","Agricultural_Land_Percent","Land_Area_Km2","GDP","Population","Urban_Population","Life_Expectancy","Gross_Tertiary_Education_Enrollment_Percent","Physicians_Per_Thousand","Fertility_Rate","Infant_Mortality","Out_of_Pocket_Health_Expenditure_Percent","Latitude","Longitude","Unemployment_Rate"
"Afghanistan",60,0.581,652230,19101353833,38041754,9797273,64.5,0.097,0.28,4.47,47.9,0.784,33.93911,67.709953,0.1112
"Albania",105,0.431,28748,15278077447,2854191,1747593,78.5,0.55,1.2,1.62,7.8,0.569,41.153332,20.168331,0.1233
"Algeria",18,0.174,2381741,169988236398,43053054,31510100,76.7,0.514,1.72,3.02,20.1,0.281,28.033886,1.659626,0.117
"Andorra",164,0.4,468,3154057987,77142,67873,NA,NA,3.33,1.27,2.7,0.364,42.506285,1.521801,NA
"Angola",26,0.475,1246700,94635415870,31825295,21061025,60.8,0.093,0.21,5.52,51.6,0.334,-11.202692,17.873887,0.0689
"Antigua and Barbuda",223,0.205,443,1727759259,97118,23800,76.9,0.248,2.76,1.99,5,0.243,17.060816,-61.796428,NA
"Argentina",17,0.543,2780400,449663446954,44938712,41339571,76.5,0.9,3.96,2.26,8.8,0.176,-38.416097,-63.616672,0.0979
"Armenia",104,0.589,29743,13672802158,2957731,1869848,74.9,0.546,4.4,1.76,11,0.816,40.069099,45.038189,0.1699
"Australia",3,0.482,7741220,1392680589329,25766605,21844756,82.7,1.131,3.68,1.74,3.1,0.196,-25.274398,133.775136,0.0527
"Austria",109,0.324,83871,446314739528,8877067,5194416,81.6,0.851,5.17,1.47,2.9,0.179,47.516231,14.550072,0.0467
"Azerbaijan",123,0.577,86600,3.9207e+10,10023318,5616165,72.9,0.277,3.45,1.73,19.2,0.786,40.143105,47.576927,0.0551
"The Bahamas",39,0.014,13880,1.2827e+10,389482,323784,73.8,0.151,1.94,1.75,8.3,0.278,25.03428,-77.39628,0.1036
"Bahrain",2239,0.111,765,38574069149,1501635,1467109,77.2,0.505,0.93,1.99,6.1,0.251,26.0667,50.5577,0.0071
"Bangladesh",1265,0.706,148460,302571254131,167310838,60987417,72.3,0.206,0.58,2.04,25.1,0.718,23.684994,90.356331,0.0419
"Barbados",668,0.233,430,5.209e+09,287025,89431,79.1,0.654,2.48,1.62,11.3,0.452,13.193887,-59.543198,0.1033
"Belarus",47,0.42,207600,63080457023,9466856,7482982,74.2,0.874,5.19,1.45,2.6,0.345,53.709807,27.953389,0.0459
"Belgium",383,0.446,30528,529606710418,11484055,11259082,81.6,0.797,3.07,1.62,2.9,0.176,50.503887,4.469936,0.0559
"Belize",17,0.07,22966,1879613600,390353,179039,74.5,0.247,1.12,2.31,11.2,0.227,17.189877,-88.49765,0.0641
"Benin",108,0.333,112622,14390709095,11801151,5648149,61.5,0.123,0.08,4.84,60.5,0.405,9.30769,2.315834,0.0223
"Bhutan",20,0.136,38394,2446674101,727145,317538,71.5,0.156,0.42,1.98,24.8,0.198,27.514162,90.433601,0.0234
"Bolivia",11,0.348,1098581,40895322865,11513100,8033035,71.2,NA,1.59,2.73,21.8,0.259,-16.290154,-63.588653,0.035
"Bosnia and Herzegovina",64,0.431,51197,20047848435,3301000,1605144,77.3,0.233,2.16,1.27,5,0.286,43.915886,17.679076,0.1842
"Botswana",4,0.456,581730,18340510789,2346179,1616550,69.3,0.249,0.37,2.87,30,0.053,-22.328474,24.684866,0.1819
"Brazil",25,0.339,8515770,1839758040766,212559417,183241641,75.7,0.513,2.15,1.73,12.8,0.283,-14.235004,-51.92528,0.1208
"Brunei",83,0.027,5765,13469422941,433285,337711,75.7,0.314,1.61,1.85,9.8,0.06,4.535277,114.727669,0.0912
"Bulgaria",64,0.463,110879,8.6e+10,6975761,5256027,74.9,0.71,4.03,1.56,5.9,0.477,42.733883,25.48583,0.0434
"Burkina Faso",76,0.442,274200,15745810235,20321378,6092349,61.2,0.065,0.08,5.19,49,0.361,12.238333,-1.561593,0.0626
"Burundi",463,0.792,27830,3012334882,11530580,1541177,61.2,0.061,0.1,5.41,41,0.191,-3.373056,29.918886,0.0143
"Ivory Coast",83,0.648,322463,58792205642,25716544,13176900,57.4,0.093,0.23,4.65,59.4,0.36,7.539989,-5.54708,0.0332
"Cape Verde",138,0.196,4033,1981845741,483628,364029,72.8,0.236,0.77,2.27,16.7,0.232,16.5388,-23.0418,0.1225
"Cambodia",95,0.309,181035,27089389787,16486542,3924621,69.6,0.137,0.17,2.5,24,0.594,12.565679,104.990963,0.0068
"Cameroon",56,0.206,475440,38760467033,25876380,14741256,58.9,0.128,0.09,4.57,50.6,0.697,7.369722,12.354722,0.0338
"Canada",4,0.069,9984670,1736425629520,36991981,30628482,81.9,0.689,2.61,1.5,4.3,0.146,56.130366,-106.346771,0.0556
"Central African Republic",8,0.082,622984,2220307369,4745185,1982064,52.8,0.03,0.06,4.72,84.5,0.396,6.611111,20.939444,0.0368
"Chad",13,0.397,1284000,11314951343,15946876,3712273,54,0.033,0.04,5.75,71.4,0.564,15.454166,18.732207,0.0189
"Chile",26,0.212,756096,282318159745,18952038,16610135,80,0.885,2.59,1.65,6.2,0.322,-35.675147,-71.542969,0.0709
"China",153,0.562,9596960,1.991e+13,1397715000,842933962,77,0.506,1.98,1.69,7.4,0.324,35.86166,104.195397,0.0432
"Colombia",46,0.403,1138910,323802808108,50339443,40827302,77.1,0.553,2.18,1.81,12.2,0.183,4.570868,-74.297333,0.0971
"Comoros",467,0.715,2235,1185728677,850886,248152,64.1,0.09,0.27,4.21,51.3,0.748,-11.6455,43.3333,0.0434
"Republic of the Congo",16,0.311,342000,10820591131,5380508,3625010,64.3,0.127,0.12,4.43,36.2,0.438,-0.228021,15.827659,0.0947
"Costa Rica",100,0.345,51100,61773944174,5047561,4041885,80.1,0.552,2.89,1.75,7.6,0.215,9.748917,-83.753428,0.1185
"Croatia",73,0.276,56594,60415553039,4067500,2328318,78.1,0.679,3,1.47,4,0.152,45.1,15.2,0.0693
"Cuba",106,0.599,110860,1.00023e+11,11333483,8739135,78.7,0.414,8.42,1.62,3.7,NA,21.521757,-77.781167,0.0164
"Cyprus",131,0.122,9251,24564647935,1198575,800708,80.8,0.759,1.95,1.33,1.9,0.439,35.126413,33.429859,0.0727
"Czech Republic",139,0.452,78867,246489245495,10669709,7887156,79,0.641,4.12,1.69,2.7,0.148,49.817492,15.472962,0.0193
"Democratic Republic of the Congo",40,0.116,2344858,47319624204,86790567,39095679,60.4,0.066,0.07,5.92,68.2,0.374,-4.038333,21.758664,0.0424
"Denmark",137,0.62,43094,348078018464,5818553,5119978,81,0.806,4.01,1.73,3.6,0.137,56.26392,9.501785,0.0491
"Djibouti",43,0.734,23200,3318716359,973560,758549,66.6,0.053,0.22,2.73,49.8,0.204,11.825138,42.590275,0.103
"Dominica",96,0.333,751,596033333,71808,50830,76.6,0.072,1.08,1.9,32.9,0.284,15.414999,-61.370976,NA
"Dominican Republic",225,0.487,48670,88941298258,10738958,8787475,73.9,0.599,1.56,2.35,24.1,0.437,18.735693,-70.162651,0.0584
"Ecuador",71,0.222,283561,107435665000,17373662,11116711,76.8,0.449,2.04,2.43,12.2,0.437,-1.831239,-78.183406,0.0397
"Egypt",103,0.038,1001450,303175127598,100388073,42895824,71.8,0.352,0.45,3.33,18.1,0.62,26.820553,30.802498,0.1076
