CountryName,CountryCode,1990,2000,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,,3521,2497,19134,18117,18753,1853,18799,19956,14266,1452,
Albania,ALB,229,348,13228,11387,11861,1320,15156,1542,15163,1794,18916,22978
Algeria,DZA,6249,5479,238943,187494,18764,18989,194554,193460,164873,186265,22556,239899
American Samoa,ASM,,,643,673,671,612,639,647,721,75,871,
Andorra,AND,129,1433,3272,2790,2897,3,3218,3155,2891,3325,339,3728
Angola,AGO,,9130,135967,9496,52762,7369,7946,7898,4852,6655,14400,84723
Antigua and Barbuda,ATG,479,10,1379,1438,1490,1531,1662,1725,142,161,1868,234
Argentina,ARG,141353,28424,526320,594749,557532,643628,524820,447755,38575,48793,631133,64591
Armenia,ARM,2257,1912,1170,1553,1546,11527,12458,13619,12642,13879,19513,24212
Aruba,ABW,765,1873,280,2963,2984,392,3276,3396,2559,313,3545,
Australia,AUS,31143,416168,1468598,1351769,12759,1326882,1429734,1394671,133382,155934,1692957,1723827
Austria,AUT,166463,197290,442585,381971,395837,417261,454991,444596,43549,479295,47942,51634
Azerbaijan,AZE,8885,5273,75240,5376,37867,4867,47112,48174,42693,54825,7887,72356
"Bahamas, The",BHS,3166,876,1974,11672,11745,12237,12616,1316,9958,11369,13136,14339
Bahrain,BHR,490,963,33388,31126,3225,35424,3783,38653,34622,39289,44383,4325
Bangladesh,BGD,31598,53370,172887,195147,265225,293732,321363,351232,373979,416272,46132,437415
Barbados,BRB,212,360,4712,4739,4848,5,5128,5367,4780,4945,585,6394
Belarus,BLR,,12737,78813,56455,47724,54725,631,6441,61372,69674,73775,71857
Belgium,BEL,25332,236792,53539,462336,47663,52765,543300,535866,52622,694,583614,632217
Belize,BLZ,546,1135,2125,2195,225,2267,2293,2387,248,2425,284,3282
Benin,BEN,1960,3520,13285,11388,11822,1272,14262,1440,15687,17688,17425,19673
Bermuda,BMU,1592,348,6414,6655,6900,7142,7226,7423,6887,7287,7828,
Bhutan,BTN,288,47,257,2155,2323,2591,2583,2736,2458,2769,2898,
