CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,6283.001443,7567.253642,9274.514156,10767.39622,11638.73371,12850.21571,13657.67064,14970.15234,16675.27849,17140.43337,17375.22531,18713.42539,19742.31674,19833.82675,21026.16709,20911.19277,21375.26912,22050.58987,24105.52412,24978.22167,25832.92556,27665.29948,29011.63906,25740.77023,24452.58874,26043.15633,25611.17577,26514.86898,26940.26411,28419.26453,28449.71295,29329.08175,30918.48358,31902.80982,24008.12782,29127.75938,33300.83882,
Africa Eastern and Southern,AFE,162.3425175,166.263682,171.9619156,182.0184795,192.6399893,202.847824,214.6669137,226.9788587,237.9114308,256.3563813,253.3823695,268.3500786,282.7369577,354.4988316,421.9771847,435.9779016,430.2612437,468.3010069,509.4798817,578.56322,728.0890324,747.0454573,689.9426708,711.6782407,638.7480973,534.6365716,560.7698116,653.1414145,690.218354,712.2410392,810.6467001,858.7276186,732.3604178,715.8921172,707.1772016,773.5753686,750.7713557,774.5496348,704.2773157,678.004156,715.1425073,633.4733816,633.5202007,819.986705,994.1938544,1130.168938,1235.847125,1379.746756,1439.240924,1404.535948,1622.684093,1757.998404,1724.204053,1696.35604,1678.55361,1498.805084,1346.301281,1485.753579,1558.612079,1508.486886,1356.088871,1545.956697,1642.432039,1672.505957
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.1883694,142.9033644,182.1740382,199.6432265,221.8305307,254.115276,274.0153923,376.3182996,382.5338072,453.3873851,562.4992216,608.7388504,653.4174749,638.733181,626.5129291,566.8811297,523.053012,526.140801,492.090631,497.7414313,512.055098,355.7778264,352.6037331,
Africa Western and Central,AFW,122.1939312,127.732834,134.1300705,139.2912219,148.8213547,156.3141364,162.8906671,145.5680846,146.8464754,162.7213055,219.8653684,197.1038803,231.5717562,282.6424212,370.9350491,416.4407476,484.1221478,494.6891206,527.9864743,630.0172696,763.5077777,1336.290032,1172.997045,881.4228847,745.3269475,762.1112948,588.1803688,588.6705933,567.5731626,516.0794284,598.3936547,612.4345186,571.6457175,579.7098326,586.8137206,878.3841332,1084.230494,1108.675984,1159.186837,531.5164891,527.2025617,539.2257488,627.0959153,706.4765613,850.0835822,1008.341766,1246.349454,1421.444644,1685.806936,1467.789174,1680.141063,1861.537303,1958.077403,2154.315084,2248.518426,1882.518808,1648.920269,1590.555785,1735.445833,1813.609146,1688.470871,1769.171853,1788.875347,1584.333285
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.9800763,329.224182,398.1136141,454.3766498,516.1286023,423.4037112,387.689438,556.884253,527.4641105,872.6576314,982.8055874,1254.696119,1900.723809,2597.963587,3121.348725,4081.717506,3123.698885,3586.663694,4608.155166,5083.826873,5061.349253,5011.984427,3217.33924,1809.709377,2439.374439,2540.508879,2191.347764,1450.905111,1927.474078,2933.484644,2309.52162
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,639.4847302,639.8659038,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4161351,750.6044492,1009.977111,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787816,2972.743621,3595.038295,4370.539716,4114.134033,4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5287.660801,5396.214243,5343.037704,6377.203096,6810.114041,8367.775731
Andorra,AND,,,,,,,,,,,3958.595725,4193.162374,4967.343963,6183.808441,7174.444564,7963.551816,7758.71683,8206.982365,9456.015877,12054.03164,12534.82847,10516.75633,9739.22855,8108.677348,7825.160158,7914.873991,10568.92913,12832.99936,14529.05988,15404.82159,19208.67838,19967.73391,21123.05606,17024.31317,16670.93843,18731.65019,19081.54924,18253.0777,18592.24364,18891.09897,21674.29972,22829.04465,24901.97214,32025.94895,37698.32613,39599.68044,43122.59865,50629.73809,53938.85213,49950.9335,48237.89117,51428.19695,44902.38077,44747.75386,45680.53499,38885.53032,39931.21698,40632.23155,42904.82846,41328.6005,37207.222,42066.49052,42350.69707,46544.72072
Arab World,ARB,,,,,,251.5131178,259.1725493,272.0180629,302.2062056,323.906341,351.870854,396.3473072,462.7306845,593.2670745,1107.952776,1186.357009,1430.44869,1594.443458,1693.407319,2210.547421,2900.537079,2859.01642,2593.214401,2373.313956,2314.940611,2209.156884,2008.268083,2074.55996,2011.729381,2088.39028,2833.221893,2020.361587,1969.847611,1963.789681,1995.558333,2058.459561,2171.319842,2283.700376,2174.904009,2362.996207,2649.772451,2527.916941,2478.934152,2697.48563,3140.309636,3760.920112,4362.93231,4943.510553,6084.785373,5123.706801,5911.330395,6874.843187,7344.630764,7344.231051,7300.599771,6258.607227,6022.882818,6068.603008,6624.834659,6565.98084,5735.509867,6503.793376,7776.62938,7377.398936
United Arab Emirates,ARE,,,,,,,,,,,2301.320102,2728.180358,3606.529914,9582.792316,23684.08836,27090.34006,31282.77154,35186.23204,29526.63798,34372.38249,42995.16399,44841.22974,39921.63298,34586.53181,31955.18125,29432.83121,23111.37838,23088.20417,21545.45558,23141.01477,26682.84981,25668.49332,25630.08097,25019.37236,25463.49629,27010.67819,28596.50683,28709.24692,25905.84338,27261.90657,31855.5006,29909.00943,30221.967,32607.37293,37017.73637,42190.55438,45339.58512,43918.38017,45140.76908,31722.58876,35392.26097,42078.61381,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44332.34005,53707.98008,52976.80838
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,3727.04801,3787.470679,2919.283511,3454.296334,3492.691474,4005.201258,2382.335862,4330.968191,5730.72381,6815.32933,6957.417499,7464.474737,7383.70451,7690.157003,8176.771195,8250.673174,7735.32208,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.73915,13082.66433,13080.25473,12334.79825,13789.06042,12790.26414,14613.03565,11795.16275,9963.674162,8500.837939,10650.86046,13650.60463,13730.51471
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.5673276,572.1617627,356.0822126,347.4664633,389.8252865,441.8940018,484.091641,501.1565152,584.3842673,575.6284792,603.2980252,676.1500113,765.3161777,910.1712617,1166.638204,1608.163408,2109.526384,3064.279963,3908.94906,2917.366242,3143.02948,3462.681778,3643.715401,3833.157074,4017.229914,3666.141822,3679.952347,4041.995071,4391.92327,4828.504886,4505.867742,4972.783204,7018.051504,8715.765336
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800.72881,9043.682367,8832.818519,8733.014287,8673.927195,9187.166344,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15609.77722,16653.71378,19673.3901,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,1208.67003,1368.48596,1696.128793,2041.035318,2295.435764,2551.33182,2826.078586,3246.421355,3787.117889,4597.864956,5389.659235,6429.528212,7152.368913,7558.940636,7925.12505,8121.12318,8591.811728,9319.117543,9006.327887,9729.664333,10311.89577,10882.47482,11318.11835,11998.55908,11513.67598,11632.73384,12141.60174,12999.34738,14319.884,16114.07563,18134.26648,18708.97335,16401.02733,15149.7235,14774.03218,15136.84111,14977.07183,15451.49524,15985.54114,16449.05915,16803.87023,18133.8226,18730.0048,15224.85859,17178.54372,19919.72669,21560.21533
Australia,AUS,1810.597443,1877.600224,1854.64189,1967.108991,2131.3803,2281.011956,2343.81979,2580.110592,2724.130672,2991.385947,3304.83782,3495.141627,3949.372987,4770.618658,6482.831082,7003.74418,7486.592781,7775.496821,8252.655904,9294.359247,10208.65201,11853.51382,12778.92792,11515.62292,12421.47387,11441.1933,11391.65505,11650.80119,14284.52069,17834.21056,18248.94071,18859.40796,18623.79174,17699.55774,18129.40219,20448.12197,22021.78391,23646.62305,21479.1142,20712.66978,21870.41597,19695.72974,20301.84317,23718.13385,30836.73068,34479.76793,36595.70715,41051.61207,49701.28178,42816.5674,52147.02419,62609.66072,68078.04423,68198.41934,62558.24388,56758.8692,49918.79393,53954.55349,57273.52048,55049.57192,51868.24756,60697.24544,65077.67667,64711.7656
